Category,Item Id,Cert Number,Stock Num,Shape,Carat,Carat Range,Color,Clarity,Cut,Polish,Sym,Fluor,Lab,Shade,Milky,Rap $/Ct,Rap Total,Rap %,$/Ct,Total Price,Aging,Rank,Count,My Stock,My Sales,My YTD Sales
Round | 1.20 - 1.49 | G | VS2,15276356,6511838968,41154-3,Round,1.3,1.20 - 1.49,G,VS2,EX,EX,EX,None,GIA,None,None,5400,7020,-32,3673,4774,4,11,25,5,2,5
Round | 1.00 - 1.19 | F | VS1,14900015,2516572104,41111-17,Round,1.09,1.00 - 1.19,F,VS1,EX,EX,EX,None,GIA,None,None,7200,7848,-40,4321,4710,42,25,26,2,2,5
Round | 1.20 - 1.49 | G | VS2,15084084,6511757134,41147-4,Round,1.3,1.20 - 1.49,G,VS2,EX,EX,EX,None,GIA,None,None,5400,7020,-33,3618,4704,27,8,25,5,2,5
Round | 1.00 - 1.19 | E | VVS1,14767499,2516507061,41090-28,Round,1.08,1.00 - 1.19,E,VVS1,EX,EX,EX,Strong,GIA,None,None,11100,11988,-61,4329,4675,62,2,31,2,3,4
Round | 1.20 - 1.49 | G | VS2,13272454,5493827900,U-1783,Round,1.31,1.20 - 1.49,G,VS2,EX,EX,EX,None,GIA,None,None,5400,7074,-34,3564,4669,295,6,25,5,2,5
Round | 1.00 - 1.19 | F | VS1,14812655,2517555844,41108-18,Round,1.08,1.00 - 1.19,F,VS1,EX,EX,EX,None,GIA,None,None,7200,7776,-40,4321,4666,55,24,26,2,2,5
Round | 1.20 - 1.49 | E | VS2,14368670,6512011319,41012-37,Round,1.21,1.20 - 1.49,E,VS2,EX,EX,EX,None,GIA,None,None,6600,7986,-42,3829,4633,127,5,23,1,2,3
Round | 1.00 - 1.19 | E | VS1,14900013,7516592653,41094-16,Round,1.01,1.00 - 1.19,E,VS1,EX,EX,EX,None,GIA,None,None,7900,7979,-42,4583,4629,42,75,101,9,37,47
Round | 1.00 - 1.19 | D | VS1,15083854,6511715554,41137-41,Round,1.06,1.00 - 1.19,D,VS1,EX,EX,EX,Faint,GIA,None,None,8700,9222,-50,4351,4612,27,4,11,1,0,0
Round | 1.00 - 1.19 | D | VVS2,14900009,6515625783,41128-30,Round,1.13,1.00 - 1.19,D,VVS2,EX,EX,EX,Strong,GIA,None,None,10200,11526,-60,4080,4611,42,4,19,1,0,1
Round | 1.20 - 1.49 | F | VS2,14900007,1513453195,41081-23,Round,1.2,1.20 - 1.49,F,VS2,EX,EX,EX,None,GIA,None,None,6000,7200,-36,3841,4609,42,11,34,1,2,3
Round | 1.00 - 1.19 | E | VVS2,15083853,2517656680,41129-42,Round,1.03,1.00 - 1.19,E,VVS2,EX,EX,EX,Faint,GIA,None,None,9300,9579,-52,4464,4598,27,14,59,2,8,15
Round | 1.00 - 1.19 | F | VS1,14900012,2516601641,41099-58,Round,1.16,1.00 - 1.19,F,VS1,EX,EX,EX,None,GIA,Brown,None,7200,8352,-45,3960,4594,42,6,25,1,1,1
Round | 1.00 - 1.19 | E | VS1,14967994,6512715147,41137-20,Round,1,1.00 - 1.19,E,VS1,EX,EX,EX,None,GIA,None,None,7900,7900,-42,4582,4582,34,70,101,9,37,47
Round | 1.00 - 1.19 | D | VS2,14967993,6515679719,41129-63,Round,1.08,1.00 - 1.19,D,VS2,EX,EX,EX,None,GIA,None,None,7300,7884,-42,4235,4573,34,18,23,6,0,3
Round | 1.20 - 1.49 | G | VS2,14900004,7513610995,41128-18,Round,1.31,1.20 - 1.49,G,VS2,EX,EX,EX,None,GIA,None,None,5400,7074,-36,3456,4528,42,3,25,5,2,5
Round | 1.00 - 1.19 | E | VS1,14731823,5516473774,41090-6,Round,1.01,1.00 - 1.19,E,VS1,EX,EX,EX,None,GIA,None,None,7900,7979,-44,4424,4468,69,55,101,9,37,47
Round | 1.00 - 1.19 | E | VS1,14812649,2514543009,41108-9,Round,1.01,1.00 - 1.19,E,VS1,EX,EX,EX,None,GIA,None,None,7900,7979,-44,4424,4468,55,55,101,9,37,47
Round | 1.00 - 1.19 | E | VS1,14541673,7511223686,41037-29,Round,1.08,1.00 - 1.19,E,VS1,EX,EX,EX,None,GIA,None,None,7900,8532,-48,4109,4438,99,2,17,2,3,3
Round | 1.00 - 1.19 | E | VVS2,14899999,1515571591,41112-7,Round,1.01,1.00 - 1.19,E,VVS2,EX,EX,EX,Faint,GIA,None,None,9300,9393,-53,4372,4416,42,7,59,2,8,15
Round | 1.00 - 1.19 | D | VS2,14731820,5513445952,41099-1,Round,1.06,1.00 - 1.19,D,VS2,EX,EX,EX,None,GIA,None,None,7300,7738,-43,4162,4412,69,15,23,6,0,3
Round | 1.00 - 1.19 | G | VVS1,14899788,5516626082,41108-53,Round,1.09,1.00 - 1.19,G,VVS1,EX,EX,EX,Faint,GIA,None,None,7700,8393,-48,4004,4364,42,2,17,1,1,2
Round | 1.00 - 1.19 | E | VS1,12895001,6491495083,31117-106,Round,1,1.00 - 1.19,E,VS1,EX,EX,EX,None,GIA,None,None,7900,7900,-45,4346,4346,338,28,101,9,37,47
Round | 1.00 - 1.19 | E | VS1,14767493,7518507054,41090-31,Round,1,1.00 - 1.19,E,VS1,EX,EX,EX,None,GIA,None,None,7900,7900,-45,4346,4346,62,28,101,9,37,47
Round | 1.00 - 1.19 | F | VS1,14812645,5516568099,41109-12,Round,1.02,1.00 - 1.19,F,VS1,EX,EX,EX,None,GIA,None,None,7200,7344,-41,4249,4334,55,67,93,8,18,31
Round | 1.00 - 1.19 | F | VS1,14967992,6512572114,41112-8,Round,1.01,1.00 - 1.19,F,VS1,EX,EX,EX,None,GIA,None,None,7200,7272,-41,4248,4290,34,59,93,8,18,31
Round | 1.00 - 1.19 | D | VS2,14899791,6515610989,41082-95,Round,1.01,1.00 - 1.19,D,VS2,EX,EX,EX,None,GIA,None,None,7300,7373,-42,4234,4276,42,43,56,5,56,67
Round | 1.00 - 1.19 | G | VVS2,14767488,2516507097,41114-2,Round,1.09,1.00 - 1.19,G,VVS2,EX,EX,EX,None,GIA,None,None,7000,7630,-44,3920,4273,62,7,20,2,3,6
Round | 1.00 - 1.19 | F | VS1,14767487,7516485815,41107-3,Round,1.02,1.00 - 1.19,F,VS1,EX,EX,EX,None,GIA,None,None,7200,7344,-42,4177,4260,62,54,93,8,18,31
Round | 1.00 - 1.19 | D | VS2,15083843,7512722423,41128-50,Round,1.02,1.00 - 1.19,D,VS2,EX,EX,EX,None,GIA,None,None,7300,7446,-43,4161,4245,27,39,56,5,56,67
Round | 1.00 - 1.19 | F | VVS2,14731816,1515424045,41062-22,Round,1.05,1.00 - 1.19,F,VVS2,EX,EX,EX,Faint,GIA,None,None,8400,8820,-52,4033,4235,69,1,18,1,1,3
Round | 1.00 - 1.19 | E | VS1,14608310,2517356555,41040-71,Round,1.01,1.00 - 1.19,E,VS1,EX,EX,EX,None,GIA,None,None,7900,7979,-47,4188,4230,86,9,101,9,37,47
Round | 1.00 - 1.19 | G | VVS2,14967985,6512715160,41137-21,Round,1.01,1.00 - 1.19,G,VVS2,EX,EX,EX,None,GIA,None,None,7000,7070,-41,4130,4171,34,38,86,2,12,15
Round | 1.20 - 1.49 | G | VVS1,14967990,2518715499,41137-22,Round,1.2,1.20 - 1.49,G,VVS1,EX,EX,EX,Strong,GIA,None,None,7700,9240,-55,3465,4158,34,2,24,1,1,3
Round | 1.00 - 1.19 | E | VS1,14899787,7516485684,41090-19,Round,1.06,1.00 - 1.19,E,VS1,EX,EX,EX,Faint,GIA,None,None,7900,8374,-51,3872,4104,42,5,24,2,3,3
Round | 1.00 - 1.19 | D | VS2,14577693,6512294612,41037-170,Round,1,1.00 - 1.19,D,VS2,EX,EX,EX,None,GIA,None,None,7300,7300,-44,4088,4088,91,32,56,5,56,67
Round | 1.00 - 1.19 | F | VS1,14577691,5516294589,41037-164,Round,1.01,1.00 - 1.19,F,VS1,EX,EX,EX,None,GIA,None,None,7200,7272,-44,4032,4072,91,13,93,8,18,31
Round | 1.00 - 1.19 | F | VS1,14731811,2517431350,41078-13,Round,1.01,1.00 - 1.19,F,VS1,EX,EX,EX,None,GIA,None,None,7200,7272,-44,4032,4072,69,13,93,8,18,31
Round | 1.00 - 1.19 | D | VS2,13074239,5496641957,31138-64,Round,1.09,1.00 - 1.19,D,VS2,EX,EX,EX,None,GIA,None,None,7300,7957,-49,3723,4058,317,7,23,6,0,3
Round | 1.00 - 1.19 | E | VS2,14967986,6512715512,41137-29,Round,1.09,1.00 - 1.19,E,VS2,EX,EX,EX,None,GIA,None,None,6600,7194,-44,3697,4030,34,15,17,2,2,4
Round | 1.00 - 1.19 | E | VS2,15276358,2516748926,41137-95,Round,1.01,1.00 - 1.19,E,VS2,EX,EX,EX,None,GIA,None,None,6600,6666,-41,3895,3934,4,102,114,8,34,45
Round | 1.20 - 1.49 | G | VS2,15177974,2517645130,41122-12,Round,1.3,1.20 - 1.49,G,VS2,EX,EX,EX,Medium,GIA,None,None,5400,7020,-44,3024,3932,14,1,26,5,2,5
Round | 1.00 - 1.19 | E | VS2,12894971,1495295450,31098-136,Round,1.1,1.00 - 1.19,E,VS2,EX,EX,EX,None,GIA,None,None,6600,7260,-47,3499,3849,338,5,17,1,2,2
Round | 1.00 - 1.19 | D | VS2,14967977,6511723116,41137-61,Round,1.09,1.00 - 1.19,D,VS2,EX,EX,EX,Faint,GIA,None,None,7300,7957,-52,3504,3820,34,3,23,6,0,3
Round | 1.00 - 1.19 | E | VS2,14899780,2516619552,41127-7,Round,1.01,1.00 - 1.19,E,VS2,EX,EX,EX,None,GIA,None,None,6600,6666,-43,3762,3800,42,88,114,8,34,45
Round | 1.00 - 1.19 | E | VS2,14899779,3515542989,41109-2,Round,1.01,1.00 - 1.19,E,VS2,EX,EX,EX,None,GIA,None,None,6600,6666,-43,3762,3800,42,88,114,8,34,45
Round | 1.20 - 1.49 | G | VS1,14767413,2517485606,41090-18,Round,1.2,1.20 - 1.49,G,VS1,EX,EX,EX,Faint,GIA,None,None,6200,7440,-49,3162,3794,62,1,36,1,4,9
Round | 1.20 - 1.49 | H | VS2,12840573,7493260209,U-1784,Round,1.29,1.20 - 1.49,H,VS2,EX,EX,EX,None,GIA,None,None,4800,6192,-39,2928,3777,344,62,70,6,10,14
Round | 1.20 - 1.49 | H | VS1,15083628,6515787497,41139-7,Round,1.2,1.20 - 1.49,H,VS1,EX,EX,EX,None,GIA,None,None,5200,6240,-40,3120,3745,27,19,44,7,5,7
Round | 1.00 - 1.19 | E | VS2,14899776,1513656772,41132-7,Round,1.01,1.00 - 1.19,E,VS2,EX,EX,EX,None,GIA,None,None,6600,6666,-44,3697,3734,42,66,114,8,34,45
Round | 1.00 - 1.19 | H | IF,14812629,6512497663,41081-66,Round,1.07,1.00 - 1.19,H,IF,EX,EX,EX,None,GIA,None,None,6100,6527,-43,3477,3721,55,11,18,1,2,3
Round | 1.20 - 1.49 | H | VVS1,15083627,6515787496,41128-67,Round,1.23,1.20 - 1.49,H,VVS1,EX,EX,EX,Faint,GIA,Brown,None,5800,7134,-48,3017,3711,27,1,25,1,1,1
Round | 1.00 - 1.19 | F | VS1,15083625,7518748938,41129-91,Round,1,1.00 - 1.19,F,VS1,EX,EX,EX,Faint,GIA,None,None,7200,7200,-49,3672,3672,27,3,107,8,18,31
Round | 1.00 - 1.19 | E | VS2,14218314,6501813339,31224-19,Round,1.09,1.00 - 1.19,E,VS2,EX,EX,EX,None,GIA,None,None,6600,7194,-49,3366,3669,156,5,17,2,2,4
Round | 1.20 - 1.49 | H | VS2,14148940,6505755189,U-1785,Round,1.27,1.20 - 1.49,H,VS2,EX,EX,EX,None,GIA,None,None,4800,6096,-40,2881,3658,170,57,70,6,10,14
Round | 1.20 - 1.49 | H | VS1,13074195,5496669963,31140-23,Round,1.21,1.20 - 1.49,H,VS1,EX,EX,EX,None,GIA,None,None,5200,6292,-42,3016,3650,317,12,44,7,5,7
Round | 1.20 - 1.49 | H | VS1,13160553,1495740667,31143-9,Round,1.21,1.20 - 1.49,H,VS1,EX,EX,EX,None,GIA,None,None,5200,6292,-42,3016,3650,310,12,44,7,5,7
Round | 1.20 - 1.49 | H | VS1,12894961,1495359344,31100-137,Round,1.23,1.20 - 1.49,H,VS1,EX,EX,EX,None,GIA,None,None,5200,6396,-43,2965,3647,338,8,44,7,5,7
Round | 1.20 - 1.49 | H | VS1,13216660,6491799372,31143-52,Round,1.23,1.20 - 1.49,H,VS1,EX,EX,EX,None,GIA,None,None,5200,6396,-43,2965,3647,302,8,44,7,5,7
Round | 1.00 - 1.19 | G | VS1,14899772,6515458005,41100-1,Round,1.01,1.00 - 1.19,G,VS1,EX,EX,EX,None,GIA,None,None,6200,6262,-42,3597,3633,42,50,145,4,51,56
Round | 1.00 - 1.19 | E | VS2,14731759,5513424077,41081-6,Round,1.01,1.00 - 1.19,E,VS2,EX,EX,EX,None,GIA,None,None,6600,6666,-46,3564,3600,69,42,114,8,34,45
Round | 1.00 - 1.19 | E | VS2,12840568,1499406049,31098-207,Round,1,1.00 - 1.19,E,VS2,EX,EX,EX,None,GIA,None,None,6600,6600,-46,3564,3564,344,36,114,8,34,45
Round | 1.20 - 1.49 | H | VS2,13074187,6491602728,31130-144,Round,1.3,1.20 - 1.49,H,VS2,EX,EX,EX,None,GIA,None,Light,4800,6240,-43,2736,3557,317,2,23,1,1,8
Round | 1.00 - 1.19 | E | VS2,12894942,2496474857,31116-6,Round,1.03,1.00 - 1.19,E,VS2,EX,EX,EX,None,GIA,None,None,6600,6798,-48,3433,3536,338,35,114,8,34,45
Round | 1.00 - 1.19 | F | VS2,12486446,6492057534,31069-151,Round,1.09,1.00 - 1.19,F,VS2,EX,EX,EX,None,GIA,None,None,6000,6540,-46,3241,3533,382,18,51,2,4,5
Round | 1.00 - 1.19 | F | VS2,14812627,5516555790,41124-3,Round,1.01,1.00 - 1.19,F,VS2,EX,EX,EX,None,GIA,None,None,6000,6060,-42,3481,3516,54,68,94,3,55,68
Round | 1.00 - 1.19 | E | VS2,14577679,6515309797,41041-18,Round,1,1.00 - 1.19,E,VS2,EX,EX,EX,None,GIA,None,None,6600,6600,-47,3498,3498,91,28,114,8,34,45
Round | 1.00 - 1.19 | F | VS2,14731793,2516437214,41089-4,Round,1.06,1.00 - 1.19,F,VS2,EX,EX,EX,None,GIA,None,None,6000,6360,-45,3300,3498,69,13,51,2,4,5
Round | 1.00 - 1.19 | H | VVS1,15083620,6512722424,41137-65,Round,1.02,1.00 - 1.19,H,VVS1,EX,EX,EX,None,GIA,None,None,5800,5916,-41,3422,3490,27,36,81,2,5,9
Round | 1.00 - 1.19 | D | VS2,14812623,6515567607,41094-10,Round,1.01,1.00 - 1.19,D,VS2,EX,EX,EX,Faint,GIA,None,None,7300,7373,-53,3431,3465,55,6,56,5,56,67
Round | 1.20 - 1.49 | H | VS1,12313502,1488837865,31068-5,Round,1.2,1.20 - 1.49,H,VS1,EX,EX,EX,None,GIA,None,None,5200,6240,-45,2861,3433,406,2,44,7,5,7
Round | 1.20 - 1.49 | H | VS1,13160547,3495721053,31140-136,Round,1.2,1.20 - 1.49,H,VS1,EX,EX,EX,None,GIA,None,None,5200,6240,-45,2861,3433,310,2,44,7,5,7
Round | 1.20 - 1.49 | H | VS1,12438879,1488909799,31068-24,Round,1.2,1.20 - 1.49,H,VS1,EX,EX,EX,None,GIA,None,None,5200,6240,-45,2861,3433,386,3,44,8,5,6
Round | 1.00 - 1.19 | F | VS2,14899510,3515619587,41110-23,Round,1,1.00 - 1.19,F,VS2,EX,EX,EX,None,GIA,None,None,6000,6000,-43,3421,3421,42,53,108,2,56,69
Round | 1.00 - 1.19 | G | VS2,15083612,6515748988,41137-86,Round,1.05,1.00 - 1.19,G,VS2,EX,EX,EX,None,GIA,None,None,5400,5670,-41,3186,3346,27,39,43,2,10,15
Round | 1.20 - 1.49 | H | VS2,12699074,7491274003,31092-167,Round,1.26,1.20 - 1.49,H,VS2,EX,EX,EX,None,GIA,None,Light,4800,6048,-45,2640,3327,359,20,73,6,10,14
Round | 1.00 - 1.19 | D | VS2,14812616,3515555769,41128-1,Round,1.09,1.00 - 1.19,D,VS2,EX,EX,EX,Medium,GIA,None,None,7300,7957,-59,2993,3262,55,4,31,6,0,3
Round | 1.20 - 1.49 | H | VS2,12840562,6495391547,31117-19,Round,1.23,1.20 - 1.49,H,VS2,EX,EX,EX,None,GIA,None,Light,4800,5904,-45,2640,3248,344,9,73,6,10,14
Round | 1.20 - 1.49 | H | VS2,12438880,7492009589,31069-89,Round,1.2,1.20 - 1.49,H,VS2,EX,EX,EX,None,GIA,None,None,4800,5760,-44,2689,3227,387,8,70,6,10,14
Round | 1.00 - 1.19 | G | VS2,15083412,6512715591,41137-35,Round,1.01,1.00 - 1.19,G,VS2,EX,EX,EX,None,GIA,None,None,5400,5454,-41,3187,3219,27,115,134,3,54,79
Round | 1.00 - 1.19 | G | VVS1,14812617,1519497681,41099-13,Round,1.01,1.00 - 1.19,G,VVS1,EX,EX,EX,Strong,GIA,None,None,7700,7777,-59,3158,3189,55,2,51,2,1,4
Round | 1.00 - 1.19 | D | VS2,14967690,7511716420,41124-101,Round,1.09,1.00 - 1.19,D,VS2,EX,EX,EX,Strong,GIA,None,None,7300,7957,-60,2920,3183,34,3,31,6,0,3
Round | 1.00 - 1.19 | G | VS2,14899503,1515601651,41114-12,Round,1.09,1.00 - 1.19,G,VS2,EX,EX,EX,None,GIA,None,None,5400,5886,-46,2916,3178,42,19,43,2,10,15
Round | 1.00 - 1.19 | D | VS2,13696082,6502217844,31177-29,Round,1,1.00 - 1.19,D,VS2,EX,EX,EX,Faint,GIA,None,None,7300,7300,-57,3140,3140,239,1,53,6,55,66
Round | 1.00 - 1.19 | G | VS1,14899496,7516572016,41129-1,Round,1,1.00 - 1.19,G,VS1,EX,EX,EX,Faint,GIA,None,None,6200,6200,-50,3100,3100,42,6,131,4,51,56
Round | 1.00 - 1.19 | G | VS2,13272419,1498814528,31142-170,Round,1.09,1.00 - 1.19,G,VS2,EX,EX,EX,None,GIA,None,None,5400,5886,-48,2809,3061,294,5,42,3,9,14
Round | 1.20 - 1.49 | H | VS2,14148927,6501754247,31214-31,Round,1.2,1.20 - 1.49,H,VS2,EX,EX,EX,None,GIA,None,None,4800,5760,-47,2545,3053,170,3,70,6,10,14
Round | 1.00 - 1.19 | H | VS1,14899494,7513626023,41119-24,Round,1.01,1.00 - 1.19,H,VS1,EX,EX,EX,None,GIA,None,None,5200,5252,-42,3016,3047,42,113,171,5,34,58
Round | 1.00 - 1.19 | G | VS2,14899492,6512572188,41111-12,Round,1,1.00 - 1.19,G,VS2,EX,EX,EX,None,GIA,None,None,5400,5400,-44,3025,3025,42,36,134,3,54,79
Round | 1.00 - 1.19 | G | VS2,14967412,7516715133,41137-19,Round,1,1.00 - 1.19,G,VS2,EX,EX,EX,None,GIA,None,None,5400,5400,-44,3025,3025,34,36,134,3,54,79
Round | 1.00 - 1.19 | F | VS2,14767156,3515507088,41089-18,Round,1,1.00 - 1.19,F,VS2,EX,EX,EX,Faint,GIA,None,None,6000,6000,-50,3000,3000,62,6,108,2,56,69
Round | 1.00 - 1.19 | H | VS1,14218304,6505914751,31241-10,Round,1.06,1.00 - 1.19,H,VS1,EX,EX,EX,None,GIA,None,None,5200,5512,-46,2808,2976,156,16,63,3,15,21
Round | 1.00 - 1.19 | G | VVS2,14899488,2516592620,41110-18,Round,1.01,1.00 - 1.19,G,VVS2,EX,EX,EX,Strong,GIA,None,None,7000,7070,-58,2940,2969,42,2,123,2,12,15
Round | 1.00 - 1.19 | G | VVS2,14899489,2516625920,41124-63,Round,1.06,1.00 - 1.19,G,VVS2,EX,EX,EX,Very Strong,GIA,None,None,7000,7420,-60,2800,2968,42,1,25,2,3,6
Round | 1.00 - 1.19 | H | VS1,12894920,2494303190,31098-143,Round,1.09,1.00 - 1.19,H,VS1,EX,EX,EX,None,GIA,None,None,5200,5668,-48,2704,2948,338,11,63,3,15,21
Round | 1.00 - 1.19 | H | VS1,12565356,3495165583,31093-35,Round,1.07,1.00 - 1.19,H,VS1,EX,EX,EX,None,GIA,None,None,5200,5564,-48,2704,2893,373,6,63,3,15,21
Round | 1.00 - 1.19 | H | VS1,14812553,7518507172,41114-4,Round,1.03,1.00 - 1.19,H,VS1,EX,EX,EX,None,GIA,None,None,5200,5356,-46,2808,2892,55,32,171,5,34,58
Round | 1.00 - 1.19 | H | VS1,14967403,1518572143,41111-16,Round,1.01,1.00 - 1.19,H,VS1,EX,EX,EX,None,GIA,None,None,5200,5252,-45,2861,2889,34,30,171,5,34,58
Round | 1.00 - 1.19 | H | VS2,14967402,2516728985,41147-2,Round,1.07,1.00 - 1.19,H,VS2,EX,EX,EX,None,GIA,None,None,4800,5136,-44,2688,2876,34,45,65,6,3,6
Round | 1.00 - 1.19 | H | VS2,15083397,6515769410,41147-7,Round,1.01,1.00 - 1.19,H,VS2,EX,EX,EX,None,GIA,None,None,4800,4848,-41,2832,2860,27,138,171,3,40,90
Round | 1.00 - 1.19 | H | VS2,14967398,2518645052,41119-35,Round,1.08,1.00 - 1.19,H,VS2,EX,EX,EX,None,GIA,None,None,4800,5184,-46,2592,2799,34,31,65,6,3,6
Round | 1.00 - 1.19 | H | VS2,12699174,1498273994,31094-111,Round,1.09,1.00 - 1.19,H,VS2,EX,EX,EX,None,GIA,None,None,4800,5232,-47,2544,2773,359,27,65,6,3,6
Round | 1.00 - 1.19 | H | VS2,14812545,6512555854,41108-16,Round,1.09,1.00 - 1.19,H,VS2,EX,EX,EX,None,GIA,None,None,4800,5232,-47,2544,2773,55,27,65,6,3,6
Round | 1.00 - 1.19 | H | VS2,12439308,3485975263,31074-27,Round,1.05,1.00 - 1.19,H,VS2,EX,EX,EX,None,GIA,None,None,4800,5040,-47,2544,2671,387,11,65,6,3,6
Round | 1.00 - 1.19 | H | VS2,12758507,2496302803,31109-3,Round,1.09,1.00 - 1.19,H,VS2,EX,EX,EX,None,GIA,None,None,4800,5232,-49,2448,2668,351,8,65,6,3,6
Round | 1.00 - 1.19 | H | VS2,14812441,1513542535,41108-14,Round,1.01,1.00 - 1.19,H,VS2,EX,EX,EX,None,GIA,None,None,4800,4848,-46,2593,2619,55,46,171,3,40,90
Round | 1.00 - 1.19 | H | VS1,14812430,6512521872,41089-3,Round,1.01,1.00 - 1.19,H,VS1,EX,EX,EX,Faint,GIA,Mix Tinge,None,5200,5252,-54,2393,2417,55,1,188,5,34,58
Round | 1.00 - 1.19 | H | VS1,14812298,2516555785,41122-1,Round,1,1.00 - 1.19,H,VS1,EX,EX,EX,Strong,GIA,None,None,5200,5200,-56,2288,2288,55,2,198,5,34,58
